term,value
herring,сельд
chamois,серна
titmouse,синица
scalare,скалярий
batoidea,скат
starling,скворец
scorpion,скорпион
skunk,скунс
horsefly,слепень
slug,слизень
elephant,слон
bullfinch,снегирь
dog,собака
sable,соболь
owl,сова
jay,сойка
falcon,сокол
nightingale,соловей
catfish,сом
magpie,сорока
pine moth,сосновый шелкопряд
steppe viper,степная гадюка
ostrich,страус
dragonfly,стрекоза
little bustard,стрепет
sand martin,стриж
zander pike-perch,судак
marmot,сурок
gopher,суслик
horned owl,сыч
cockroach,таракан
tarantula,тарантул
roach,тарань
telescopus,телескоп
calf,телёнок
heifer,тёлка
termite,термит
blackcock,тетерев
tiger,тигр
aphid,тля
bankcod,треска
eft,тритон
wagtail,трясогузка
toucan,тукан
capra,тур
jerboa,тушканчик
seal,тюлень
grig,угорь
anaconda,удав
hoopoe,удод
snowcock,улар (горные индейки)
snail,улитка
duck,утка
duckbill,утконос
the long-eared bat,ушан
phrynocephalus mystaceus,ушастая круглоголовка
pheasant,фазан
eagle owl,филин
flamingo,фламинго
trout,форель
chameleon,хамелеон
hamster,хомяк
corydalis,хохлатка
heron,цапля
pearl-hen,цесарка
poult,цыплёнок
gull,чайка
worm,червь
tortoise,черепаха
lapwing,чибис
jackal,шакал
bumblebee,шмель
puppy,щенок
gloydius,щитомордник
pike,щука
lamb,ягнёнок
jaguar,ягуар
yak,як
hawk,ястреб
lizard,ящерица
