term,value
cobra,кобрæ
red-footed falcon,кобчик
mare,ефс
goat,сæгъ
kid,сæныкк
nightjar,сæгъдуц
humming-bird,колибри
mosquito,къогъо
pipit,конёк
cow,хъуг
bark beetle,цъархор
kinglet,нæзыйы цъиу
corn crake,цъæх мæга
steppe fox,корсак
kite,хъæрццыгъа
roe deer,сæгуыт
cat,гæды
fur seal,котик
crab,краб
small tortoiseshell,пысырайы гæлæбу
giildenstadt’s redstart,сырхгуыбын горихвосткæ
forest caterpillar hunter,тæфгæнаг хъæндил
shrimp,креветкæтæ
merlin arctic falcon,лацин
crocodile,кæфхъуындар
rabbit,хæдзарон тæрхъус
mole,куырм уыры
fruit-bat,крылан
rat,уыры
mallard quack,хъæддаг бабыз
grasshopper,цъырцъыраг
cuckoo,гакк-гукк
onager,кулан
sandspiper,доны ацц
marten,сæлавыр
hen,карк
partridge,хуыргарк
lama,ламæ
doe,хъуаз
weasel,тæхсæл
swallow,зæрватыкк
swan,доныхъаз
lion,домбай
lemming,лемминг
leopard,леопард
bat,хæлынбыттыр
fox,рувас
salmon,æргъай
elk,цæгатаг саг
horse,бæх
pied bushchat,уыгæрдæны чыкгæнæг
harrier,лунь
lioness,сыл домбай
frog,хæфс
paradise fish,макропод
mammoth,мамонт
swallowtail,махаон
mole-cricket,хъугдæй
bear,арс
jellyfish,медузæ
platyfish,меченосец
centipede,хъусхил
wood louse,хъусхилæг
moth,рæмпæг
walrus,морж
guinea-pig,денджызон хъыбыл
(sea) scallops,денджызон сæрвасæнтæ
starfish,денджызон стъалытæ
sea-horse,денджызон бæхтæ
mule,хæргæфс
ant,мæлдзыг
anteater,мæлдзыгхор
fly,бындз
fly-catcher,бындзмар
mouse,мыст
mink,норкæ
rhinoceros,сыкъафындз
monkey,маймули
common ruffe,хуымæтæджы ёрш
gadfly,дзынга
sheep,фыс
ruddy shelduck,огар
perch,окунь
female deer,саг
orangoutan,орангутанг
eagle,цæргæс
wasp,дыдынбындз
donkey,хæрæг
burro baby-ass,къæлæу
octopus,асткъахыг
peacock,мæлхъ
panda,пандæ
spider,хæлуарæг
common shelduck,пеганкæ
pelican,пеликан
marbled polecat,перевязкæ
quail,уæрцц
margaritana,перловицæ
polar fox,цæгатаг рувас
zygaenidae,хъулон гæлæбу
cock,уасæг
penguin,пингвин
python,питон
pika,пищухæ
bloodsucker,цъулбер
phiclides podalirius,подалири
arvicolinae,быдырон мыст
nuthatch,бырæг цъиу
parrot,тути
piglet,хъыбыл
limnaeidae pond-snails,цадонтæ
puma,пумæ
snow bunting,пуночкæ
kestrel,пустельгатæ
bee,мыдыбындз
crawfish,мыдзбыр
pink starling,мæтæгхуыз сауцъиу
fish,кæсаг
lynx,стай
hazel hen,дзыгъуыргарк
ciprinus carpio carp,сазан
saiga,сайгак
locust,мæтых
sardine,сардинæ
cricket,цъырцъыраг
glowworm,æрттиваг хъæндил
pig,хуы
northern deer,цæгатаг саг
stellate sturgeon,кæфгæсаг
herring,сельд
chamois,сычъи
titmouse,дзывылдар
scalare,скаляри
batoidea,скат
starling,саумæлгъ
scorpion,къæдздым
skunk,скунс
horsefly,куырмбындз
slug,æнæхъузг моллюск
elephant,пыл
bullfinch,зараг цъиу
dog,куыдз
sable,сыбираг сæлавыр
owl,уыг
jay,сойкæ
falcon,уари
nightingale,булæмæргъ
catfish,локо
magpie,дзæгъындзæг
pine moth,нæзыйы цыллæйы калм
steppe viper,быдырон маргджын калм
ostrich,страус
dragonfly,цъырцъыраг
little bustard,стрепет
sand martin,чъима
zander pike-perch,судак
marmot,зæххы æхсæрæг
gopher,хъулон уыры
horned owl,сидахъ
cockroach,хъæбыза
tarantula,тарантул
roach,тъаран
telescopus,телескоп
calf,род
heifer,дыгæрдыг
termite,термит
blackcock,саугарк
tiger,тигр
aphid,зулкъ
bankcod,треска
eft,тритон
wagtail,урс дзывылдар
toucan,тукан
capra,дзæбидыр
jerboa,тушкан
seal,тюлен
grig,калмгæсаг
anaconda,удав
hoopoe,дыгоппон
snowcock,зым
snail,сæтæлæг
duck,бабыз
duckbill,бабызфындз
the long-eared bat,хъусой
phrynocephalus mystaceus,тымбылсæр хъусой
pheasant,сындзы уасæг
eagle owl,ололи
flamingo,фламинго
trout,балергæсаг
chameleon,хамелеон
hamster,хъулон уыры
corydalis,хохлаткæ
heron,кæсаглас
pearl-hen,цицыр
poult,цъиу
gull,кæсагдзау
worm,уаллон
tortoise,уæртджын хæфс
lapwing,чибис
jackal,шакал
bumblebee,хъæддаг мыдыбындз
puppy,къæбыла
gloydius,щитомордник
pike,хихор
lamb,уæрыкк
jaguar,ягуар
yak,як
hawk,цъиусур
lizard,гæккуыри
