term,value,context,context value,level
ground,грунт,,,normal
heap,куча,,,normal
candle,свеча,,,simple
pumice,пемза,,,normal
honor,почет,,,normal
kudos,слава,,,normal
famous,знаменитый,,,normal
ladle,половник,,,simple
circassian,черкеска,,,normal
gutter,желоб,,,normal
fry,жарить,,,simple
wedge,клин,,,normal
gravel,щебенка,,,normal
rag,тряпка,,,simple
brand,клеймо,,,normal
bud,почка,,,normal
angle,угольник,,,normal
balcony,балкон,,,normal
glade,поляна,,,normal
spring,пружина,,,normal
tremble,дрожать,,,normal
apron,фартук,,,hard
blacksmith,кузнец,,,hard
brook,ручей,,,normal
caftan,бешмет,,,hard
cone,конус,,,hard
cup,чашка,,,simple
door,дверь,,,simple
forge,кузница,,,normal
goal,гол,,,simple
hairless,безволосый,,,normal
hiccup,икать,,,simple
house,дом,,,simple
inflate,надувать,,,simple
lump,шишка,,,simple
muzzle,намордник,,,normal
peak,пик,,,normal
pooch,дворняжка,,,normal
rock,камень,,,simple
shovel,лопата,,,simple
snout,морда,,,normal
spot,пятно,,,normal
stick,палка,,,simple
stump,пень,,,simple
table,треножник,,,normal
wrong,неверно,,,normal
hang around,шляться,,,normal
wineglass,бокал,,,normal
flank,фланг,,,normal
lapdog,болонка,,,hard
dangling,болтающийся,,,normal
harrow,борона,,,hard
bravo,браво,,,normal
defective,бракованный,,,normal
bracelet,браслет,,,normal
spatter,брызганье,,,simple
cloak,бурка,,,normal
cotton wool,вата,,,normal
venus,Венера,,,normal
disheveled,взъерошенный,,,normal
upside down,вниз головой,,,simple
tuesday,вторник,,,simple
sleeve,втулка,,,normal
miss,промах,,,normal
ledge,выступ,,,normal
clay,глина,,,normal
mockery,глумление,,,hard
headache,головная боль,,,normal
proud,гордый,,,normal
king,государь,,,normal
rake,грабли,,,simple
rowing,гребля,,,normal
priming,грунт,,,normal
king,король,,,normal
country house,дача,,,normal
wooden chain,деревянная цепь,,,hard
fraction,дробь (ружейная),,,hard
thought,дума,,,normal
European,европейский,,,normal
alive,живой,,,normal
breakfast,завтрак,,,simple
splinter,заноза,,,simple
desolation,запустение,,,normal
yawn,зевать,,,simple
go backwards,идти задом,,,simple
image,изображение,,,normal
bloodhound,ищейка,,,hard
helmet,каска,,,normal
mallet,киянка,,,hard
button,кнопка,,,normal
quiver,колчан,,,hard
thorn,колючка,,,normal
mosquito,комар,,,simple
hoof,копыто,,,normal
trough,корыто,,,normal
round flat stone,круглый плоский камень,,,hard
cup,кубок,,,normal
bunch,кучка,,,simple
bedridden patient,лежачий больной,,,normal
rainfall,ливень,,,simple
scrap,лом,,,normal
mattress,матрац,,,normal
bread in milk,хлеб в молоке,,,hard
alert,тревога,,,normal
invisible,невидимый,,,simple
one-sided,однобокий,,,normal
squire,оруженосец,,,hard
axis,ось,,,hard
male hunting female,охота самца за самкой,,,hard
rug,палас,,,normal
pearl,перламутровый,colour,цвет,normal
feather,перо,,,hard
bake,печь,,,normal
handgun,пистолет,,,normal
flame,пламя,,,normal
blueprint,план,,,normal
pilaf,плов,,,simple
flat,плоский,,,simple
plow,плуг,,,hard
gift,подарок,,,simple
pallet,поддон,,,normal
tripod,тренога костровая,,,hard
piston,поршень,,,hard
stretch,потягиваться,,,normal
satiation,пресыщение,,,hard
glimpse,проблеск,,,normal
product,произведение,,,normal
fluff,пух,,,normal
lush,пышный,,,normal
comb,расческа,,,simple
revolver,револьвер,,,normal
horn,рог,,,simple
birthmark,родимое пятно,,,simple
mercury,ртуть,,,hard
adobe,саман,,,hard
freedom,свобода,,,normal
saddle,седло,,,hard
sulfur,сера,,,hard
strong man,силач,,,normal
silhouette,силуэт,,,hard
sieve,сито,,,normal
slabber,слюна,,,normal
thesaurus,справочник,,,normal
sealing wax,сургуч,,,hard
happiness,счастье,,,normal
shooting,съемка,,,normal
shadow,тень,,,simple
hewn stone,тесаный камень,,,normal
adze,тесло,,,hard
whetstone,точильный камень,,,hard
urinary tube,трубка для мочи,,,hard
tuberculosis,туберкулез,,,hard
turban,тюрбан,,,hard
corner,угол,,,normal
wonder,удивление,,,hard
hive,улей,,,normal
clever,умный,,,normal
ghoul,упырь,,,hard
facade,фасад,,,normal
wick,фитиль,,,normal
cotton,хлопок,,,normal
scull,череп,,,normal
shawl,шаль,,,hard
noise,шум,,,normal
ball,мяч,,,simple
basket,корзина,,,simple
bathe,купаться,,,simple
bayonet,штык,,,normal
beekeeper,пчеловод,,,normal
bell,колокол,,,normal
big man,силач,,,normal
build,строить,,,normal
calf,теленок,,,simple
carpet,ковер,,,simple
chestnut,каштан,,,normal
collar,воротник,,,hard
crampon,кошки,,,hard
diary,дневник,,,normal
doubt,сомнение,,,normal
dress,платье,,,simple
drop,бросать,,,simple
egg,яйцо,,,simple
far away,далеко,,,simple
fig,шиш,,,simple
fist,кулак,,,simple
flour,мука,,,simple
fondle,ласкать,,,simple
granite,гранит,,,normal
gum,жвачка,,,simple
hollow,пустой,,,simple
lance,копье,,,hard
left,левый,,,simple
leprosy,проказа,,,hard
melt,таять,,,simple
navel,пупок,,,simple
niche,ниша,,,normal
pan,кастрюля,,,normal
pot,горшок,,,normal
sing,запеть,,,simple
refugee,беженец,,,hard
right,право,,,simple
road,дорога,,,simple
roller,вал,,,hard
sail,паруc ,,,normal
search,искать,,,normal
slave,раб,,,normal
soup plate,глубокая тарелка,,,normal
stamp,штамп,,,normal
sugar bowl,сахарница,,,normal
touch,трогать,,,simple
warm,теплый,,,simple
waterskin,бурдюк,,,hard
lawn,газон,,,normal
pendulum,маятник,,,normal
amber,янтарь,,,hard
paradise,рай,,,normal
boat,лодка,,,simple
qualitative,качественный,,,normal
aqua regia,царская водка,,,hard
wallet,кошелек,,,normal
knight,рыцарь,,,normal
slim,стройный,,,normal
arrow,стрела,,,normal
ruby,рубин,,,normal
in turn,по очереди,,,simple
